CCOD_RUBRO,hs_prefixes,mapping_priority,mapping_note
302E,32,2,Chapter-level parent mapping for tanning/dye extracts and paints.
302F,33,2,Chapter-level parent mapping for essential oils and cosmetics.
302G,34,2,Chapter-level parent mapping for soaps and surfactants.
302JZ,38,2,Chapter-level parent mapping for miscellaneous chemical products.
303,39,2,Chapter-level parent mapping for plastics and articles thereof.
304,40,2,Chapter-level parent mapping for rubber and articles thereof.
305,42,2,Chapter-level parent mapping for leather manufactures.
306A,48,2,Chapter-level parent mapping for paper and paperboard articles.
306B,49,2,Chapter-level parent mapping for printed books and publishing products.
307E,57;58,2,Chapter-level parent mapping for carpets and special woven fabrics.
307F,56;59,2,Chapter-level parent mapping for wadding and special textile articles.
307H,61;62,2,Chapter-level parent mapping for apparel and clothing accessories.
307I,63,2,Chapter-level parent mapping for other made-up textile articles.
309A,68,2,Chapter-level parent mapping for stone/asbestos manufactures.
309B,69,2,Chapter-level parent mapping for ceramic products.
309C,70,2,Chapter-level parent mapping for glass and glassware.
311AZ,72;73,2,Chapter-level parent mapping for iron and steel related manufactures.
311AE,730,3,HS3 parent mapping for tubes and pipes of iron or steel.
311AF,7308,4,Direct HS4 mapping for structures of iron or steel.
311B,74,2,Chapter-level parent mapping for copper.
311C,76,2,Chapter-level parent mapping for aluminum.
311F,82,2,Chapter-level parent mapping for tools and cutlery of base metal.
311G,83,2,Chapter-level parent mapping for miscellaneous articles of base metal.
312AA,8407;8408;8409,4,Direct HS4 mapping for internal combustion engines and parts.
312AB,8413,4,Direct HS4 mapping for pumps and parts.
312AC,8418,4,Direct HS4 mapping for refrigeration equipment.
312AD,8419,4,Direct HS4 mapping for heating and cooking machinery.
312AE,8422,4,Direct HS4 mapping for bottle cleaning and filling machinery.
312AF,8428,4,Direct HS4 mapping for lifting and handling machinery.
312AG,8438,4,Direct HS4 mapping for food and beverage preparation machinery.
312AH,8456;8457;8458;8459;8460;8461;8462;8463,4,Direct HS4 mapping for metal-working machine tools.
312AL,84,2,Chapter-level parent mapping for other mechanical machinery and parts.
312AM,8481,4,Direct HS4 mapping for taps and valves.
312AZ,84,2,Chapter-level parent mapping for other mechanical machinery.
312B,85,2,Chapter-level parent mapping for electrical machinery and electronics.
313BB,8703;8704,4,Direct HS4 mapping for motor cars and goods vehicles.
313BC,8708,4,Direct HS4 mapping for motor vehicle parts and accessories.
313BZ,87,2,Chapter-level parent mapping for other vehicles and tractors.
39899,,0,Not expanded because the confidential industrial basket is broader than HS2.
399A,90,2,Chapter-level parent mapping for optical and medical instruments.
399D,93,2,Chapter-level parent mapping for arms and ammunition.
399E,94,2,Chapter-level parent mapping for furniture and prefabricated buildings.
399F,95,2,Chapter-level parent mapping for toys and sports articles.
399Z,,0,Not expanded because the residual industrial basket is broader than HS2.
402Z,27,2,Chapter-level parent mapping for other fuels.
49899,27,1,Broad fallback for confidential fuels and energy.
